language,longitude,latitude
Stimul Paiwan,120.83,22.5
Kibera Kenya,36.78,-1.32
Sliammon,-125.0,50.17
Millcayac,-68.0,-31.0
Tokuwase,129.03,27.76
Betawi,107.0,-6.5
Lendu Djadha,30.05,2.0
Tudugukakan,-7.2,10.0
Taupe,119.67,-3.08
Leningitij,141.8,-12.8
Pima Bajo,-111.0,29.0
Kuwaiti Arabic,47.98,29.37
Makurap,-62.5,-12.5
Awngi,36.67,10.83
Mori Bawah Watu,121.25,-2.08
Maklew 2,139.42,-7.67
Zhongke Wa,99.61,22.8
Gilyak South Sakhalin,142.0,53.33
Rajarampur Santali,87.0,24.5
Lamaholot Ile Mandiri,122.75,-8.25
She China,114.5,23.0
Bana,13.35,10.25
Proto Togo,1.0,8.0
Ngbandi,22.0,3.75
Assamese,93.0,26.0
Kichee San Miguel Chicaj,-91.08,15.0
Kagulu,37.0,-6.33
Waruna,142.5,-8.08
Tiriyo,-55.75,3.25
Lower Sorbian,14.33,51.75
Orejon,-72.5,-2.83
Mbu,10.05,6.4
Mandi Cameroon,11.2,4.7
Alyawarr Alyawara,135.0,-22.5
Ncekpe,8.25,8.75
Sempan,137.5,-4.83
Guhu Samane,147.33,-8.0
Mashi Drc,28.5,-2.5
Libie,11.12,4.55
Kemtuik 2,140.33,-2.67
Zimbabwe Ndebele,29.0,-20.0
Tabulahan Mckenzie,119.25,-2.75
Estonian Voro,27.0,57.85
Turkmen 2,58.0,40.0
Kadorih,113.0,-0.5
Zoque Francisco Leon,-93.25,17.33
Proto Tibeto Burman 2,86.93,27.99
Enapa Woromaipu,-66.0,6.5
Alinga,10.67,4.75
Xebobe,12.33,-1.17
Old Frisian,6.0,53.0
South Eastern Gondi,81.0,19.0
Tai Lungchow,108.0,24.0
Matorisch,100.0,53.0
Cayapa,-79.0,0.67
Ainu Nairo,141.06,45.39
Bacama,11.65,9.4
Duhtu Tsou,120.75,23.5
Makwa Ile,38.67,-15.0
Mongo Opala,21.0,0.0
Shina Kohistani,74.0,36.0
Misher Tatar,49.0,55.5
Mokerang,147.42,-2.0
Kutenai,-116.0,49.5
Tombulu,124.75,1.42
Sidamo 2,38.3,6.75
Buang Mapos,146.83,-6.92
Bonfiay,130.5,-3.25
Boma Nord Ekemwa,23.17,3.58
Naga Nocte,95.5,27.0
Brokskat,76.5,35.33
Naha,127.0,26.5
Kolokuma,5.67,4.92
Kwanka,9.43,9.3
Dagaare,-2.67,10.5
Pove,12.33,-1.17
Domaaki,74.0,36.17
Dama Dama,119.67,-3.08
Saek,104.75,17.42
Proto Algic,-73.5,42.67
Piratapuyo,-69.5,0.33
Saep,146.05,-5.65
Kok Borok 2,92.5,24.33
Logo,30.0,3.5
Bangubangu Kabambare,28.0,-6.0
Taketomi Yaeyama,124.09,24.33
Ayiwo,166.25,-10.33
Nkami,0.25,7.17
Malagasy Betsimisaraka,49.36,-18.3
Siagha,139.5,-7.0
C81 Dengese,21.67,-3.25
Rubasa,7.0,8.0
Khapalu Balti,76.0,35.0
Malas,145.59,-4.73
Malay,102.0,3.0
Negerhollands,-64.93,18.35
Wabhula,122.62,-5.55
Iduna,150.25,-9.33
Quinault,-124.08,47.25
Wagaya,137.0,-20.17
Joghatay Khorasani,57.05,36.62
Isoko,6.25,5.5
Proto Chatino,-96.72,17.07
Nigerian Pidgin,3.33,6.5
Arabela,-75.17,-2.0
Muinane 2,-72.5,-1.0
Malay Baba,103.83,1.28
Proto Western Hmong,104.5,23.83
Ligurian Genoese,8.95,44.42
Dinka South Central,30.0,6.83
Nkim,8.58,6.58
Tiwa Northern Taos,-105.5,36.5
Bikaru,143.0,-4.83
Nones Fassano,11.89,46.61
Zergulla,37.3,5.9
Balimba,29.75,4.75
Tahitian,-149.58,-17.67
Apma,168.2,-15.66
Kurondi,30.75,10.42
Ngangela,18.0,-15.5
Buan,134.83,-13.5
Gayo,97.5,4.5
Gjestal Norwegian,8.0,61.0
Kulina Pano,-70.5,-9.5
Onin,132.41,-2.75
Cocopa,-115.0,32.33
East Limba,-12.0,10.0
Wersing 2,125.12,-8.25
Yugh Recent,90.0,61.0
Kayan,96.8,19.0
Amahuaca,-72.5,-10.5
Beele,10.42,10.16
Swahili Tikuu,41.18,-1.87
Tabla,140.42,-2.45
Misima Panaeati,152.75,-10.67
Biem,144.58,-3.5
Jumjum,34.0,10.58
Seleput,142.42,-3.58
Emerum,145.08,-5.15
Eritai 2,138.0,-2.67
Zinza 2,31.7,-2.0
Haut Kenyang,9.5,5.67
Sharanahua,-70.0,-11.0
Yelmek,139.17,-7.67
Iyo,146.09,-5.84
Yanac,-77.87,-8.62
Ndovele Bilua,156.67,-7.75
Yanam,-62.83,3.5
Baffa Pashto,73.26,34.5
Nahuatl Acaxochitlan,-98.2,20.17
Mongo,21.0,0.0
Bilua,156.67,-7.75
Kazan Tatar,49.5,56.0
Wiru,144.25,-6.42
Bilur,152.42,-4.25
Swedish,15.0,60.0
Iguta,8.83,10.0
Xehimba,11.13,-1.28
Lumbu 2,10.58,-3.0
Lumbu 1,10.58,-3.0
Siriano,-70.17,0.75
Mmen,10.25,6.33
Birayle,37.33,5.33
Katukina,-66.55,-3.6
Tandia,134.5,-2.83
Nahuatl Huitziltepec Zumpango Del Rio,-99.47,19.82
Talysh,48.67,38.75
Romblomanon 2,122.42,12.42
Romblomanon 1,122.42,12.42
Marwari,75.07,27.0
Bugan,104.92,23.6
Maidu Northwest Nakum,-121.5,39.5
Afitti,30.75,12.47
Dahua Bunu,107.99,23.75
Hinihon,145.31,-4.67
Lahu,98.17,20.0
Palenquero,-75.33,10.33
Mpyemo 2,15.67,3.5
Tigre,38.5,16.5
Laha,103.92,21.58
Rondu Balti,76.0,35.0
Tahitian 18th Century,-149.45,-17.67
Remo,82.0,18.0
Paruwa,143.83,-3.83
Samba Leko,12.5,8.5
Grand Couli,165.75,-21.67
Bororo,-57.0,-16.0
Kunar Gujari,70.86,34.63
Wagau,146.83,-6.92
Gilyak West Sakhalin,142.0,53.33
Cacaopera,-88.5,13.0
Ambel,130.82,-0.03
Somali 2,45.0,3.0
Mohave,-114.58,34.67
Kanyok,23.58,-7.33
Usu,145.5,-5.32
Kurudu,137.0,-1.85
Korean,128.0,37.5
Miya,9.67,10.92
Loniu,147.3,-2.07
Ende,121.67,-8.83
Putian Chinese,119.02,25.43
Sursurunga,152.77,-3.88
Endo,35.58,1.08
Mahongwe Sama,14.0,0.67
Kichee Cunen 2,-91.0,15.83
Yamdena,131.5,-7.5
Zenaga 2,-16.0,17.33
Gidicho,38.08,6.33
West Ambae,167.7,-15.43
Nyiha Tanzania,33.0,-10.0
Old Persian,54.0,32.0
Pileni,166.22,-10.22
Tuoluo Bai,99.14,27.03
Lunda,24.0,-10.67
Taabwa Rdc 1,29.5,-8.0
Taabwa Rdc 2,29.5,-8.0
Marriammu,130.5,-12.28
Jebero,-76.5,-5.42
Sie,169.03,-18.82
Sio,147.33,-5.95
Mayo,-108.0,26.0
Guadeloupe Creole,-61.5,16.25
Warumungu,134.33,-19.33
Siraya,120.3,23.0
Nkumm,8.58,6.58
Idu,7.75,9.08
Ido,4.89,52.37
Narango Nambel,167.03,-15.55
Tindi,46.25,42.37
Ndonga,17.0,-18.0
Tubatulabal,-118.33,36.0
Mapudungun 2,-72.0,-38.0
Mapudungun 3,-72.0,-38.0
Mazatec Chiquihuitlan,-96.92,17.75
Usakade,8.67,4.75
Kharia,84.33,22.5
Ainu Bihoro,144.1,43.82
Mundat,8.75,9.17
Zapotec Mitla,-96.25,16.8
Ikpana,0.42,6.92
Lamang Hitkalanchi,13.74,11.02
Arandai Sebyar,133.0,-2.08
Santali,87.0,24.5
Gisira,10.5,-1.75
Teiwa 2,124.17,-8.33
Mangerr,133.17,-12.25
Hiligaynon,123.0,10.25
Bagwalal,46.17,42.58
Seke,168.19,-15.87
Logol,30.95,10.93
Rang,10.5,8.0
Southern Gondi 2,81.0,19.0
Rana,80.35,28.8
Proto Tupi-guarani,-47.5,-12.5
Kali,16.33,6.67
Rano,167.4,-16.04
Northern Mao,34.5,9.92
Tay,105.3,22.6
Tae,120.2,-2.58
Alune,128.3,-3.0
Dalwongo,136.17,-12.92
Cantonese,113.0,23.0
Satere Mawe,-56.75,-3.63
Tai,101.0,16.0
Lampung Nyo Melinting,105.5,-4.67
Larike Wakasihu,127.92,-3.0
Aimele,142.67,-6.92
Watubela,131.6,-4.5
Gurbet Romani,19.95,43.35
Bernese German,7.42,47.0
Kayabi,-57.42,-10.92
East Greenlandic,-40.0,65.0
Arabana,136.25,-28.25
Landoma,-14.0,10.83
J42 Nande,29.17,-0.08
Ntomba De Bikoro,18.33,-2.0
Tausug,121.0,6.0
Lere Takaya,8.67,10.58
Ma,28.0,3.5
Waina,140.92,-3.33
Kamikatetsu Kikai,129.94,28.28
Welamo,37.75,6.83
Aheave,145.42,-7.67
Kamakan,-41.31,-11.53
Podoko,14.08,11.0
Babanki,10.32,6.08
Pelauw Haruku,128.42,-3.5
Tawaroga Kahua,162.25,-10.67
Biyom,145.33,-5.8
Aguacateco Aguacatan,-91.33,15.42
Miran Shah Pashto,70.07,33.0
Bora,-72.33,-2.17
Nedebang 2,124.17,-8.25
Limbu,87.75,27.17
Darel Shina,74.0,36.0
Silozi,26.0,-17.83
Myene,9.5,-1.25
Mandar,119.08,-3.42
Nimoa,153.17,-11.25
Altai,87.0,51.0
Mbaelelea,160.67,-8.42
Lower Sorbian 2,14.33,51.75
Iwam,142.0,-4.33
Taluti,129.42,-3.42
Dawawa,149.92,-10.17
Poyanawa,-73.13,-7.5
Balondo,9.98,4.83
Saliba Papua Newguinea,150.7,-10.58
Wusi Kerepua,166.64,-15.41
Bariai,148.63,-5.48
Dciriku,21.67,-18.33
Sarcee,-116.0,52.5
Katso,102.66,24.15
Qawasqar,-75.0,-49.0
Kolo Bawah Bajau,123.0,-4.33
Libinza,18.67,1.67
Alsea,-123.92,44.67
Pykobje,-49.0,-4.75
Catio,-76.33,7.17
Modole,127.75,1.42
Solresol,2.15,43.93
Kaptiau,139.0,-2.33
Galice,-121.0,43.0
Gurung Western,83.0,29.0
Aore,167.18,-15.6
Mbara,15.42,11.0
Ambele,9.67,5.92
Menggala Tulang Bawang Lampung Nyo,105.5,-4.67
Proto Huastecan,-92.3,15.55
Mindik,147.33,-6.5
Quichua Tungurahua Salasaca,-78.57,-1.32
Ntelere,18.0,-3.0
Shatt,30.0,10.38
Dumi,86.67,27.25
Lelepa,168.25,-17.53
Chantyal,83.42,28.58
Proto Greater Quichean,-90.84,14.84
Sangisari,53.33,35.7
Zilmamu,35.2,6.2
Apoi,5.67,4.92
Walio,142.25,-4.42
Bieria Vovo,168.21,-16.81
Tewa San Juan Pueblo,-106.08,36.08
Shidong Biao,112.11,23.54
Mailu 2,149.3,-10.33
Rgyalthang,98.65,28.47
Gizrra Kupere,142.83,-9.08
Nandi,35.0,0.25
Nahuatl Xalatzala Tlapa,-98.53,17.55
Nande,29.17,-0.08
Isukha,27.83,0.25
Pagibete,22.0,3.08
Halia,154.67,-5.25
Kaniet,146.96,-2.09
F21 Sukuma,32.0,-2.83
Avar Hid,46.72,42.33
Tabaru,127.25,1.5
Mander,138.83,-2.25
Nihali,77.83,19.75
Live,24.0,56.83
B414 Varama,10.75,-2.5
Termanu,123.3,-10.67
Biga,130.27,-2.0
Elamite,46.42,33.63
Navut,166.69,-15.45
Xajdak Dargi,47.83,42.12
Maralango,146.33,-7.08
Proto Lower Cross,8.0,5.0
Proto Oceanic 3,-125.0,-10.0
Proto Oceanic 2,-125.0,-10.0
Proto Asmat,138.83,-5.5
Nkhonde,33.67,-9.25
Chamicuro,-75.5,-5.33
Totonac Filomena Mata,-97.7,20.18
Wa 2,98.0,23.0
Wa 3,98.0,23.0
Cape Verdean Creole,-23.6,15.07
Baetora Narovorovo,168.12,-15.32
Ampale,146.08,-6.75
Tuvaluan,179.17,-8.5
Lishan Didan,47.0,38.0
Awera,136.0,-2.75
Manga Kanuri,10.0,14.0
Mende Png,142.67,-3.58
Hobyot,54.0,18.0
Atsugewi,-121.0,40.75
Lakamadi,29.75,4.75
Mbareke,158.0,-8.58
Saludengan,119.08,-3.08
Sepa Papua New Guinea,145.0,-4.25
Zhaozhuang Bai,100.26,25.56
Nyokon,10.5,4.75
Batek Nong,102.5,3.75
Misool Maya,130.07,-1.87
San Carlos,-110.0,33.75
Miyak,143.83,-4.58
Hmu,108.0,26.5
Okpe,5.83,6.0
Yandruwandha,140.5,-28.33
Luxembourgish,6.17,49.83
Muiri Dargi,47.63,42.16
Kuri,134.0,-2.83
Yuanjiang Tai,102.0,23.6
Dem 2,137.58,-3.67
Barranbiya,145.93,-30.1
Forak,146.54,-5.69
Kashaya,-123.33,38.67
Jiringayn,149.83,-36.67
Amasi,9.58,6.0
Haruai,144.17,-5.08
Kavalan 2,122.0,24.5
Mwini,39.0,-6.5
Gedeo,38.38,6.35
Tok Pisin,147.17,-9.5
Yami,121.5,22.0
Okobo,8.08,5.0
Kualan,110.42,-0.42
Singpho,91.77,26.14
Timugon Murut,116.1,5.0
Tewa Lebang,124.17,-8.33
Lezgi,47.83,41.67
Murrinh Patha 2,129.67,-14.67
Qhalaxarzi,22.5,-24.33
Yabarana,-66.25,5.33
Ganang,8.98,9.73
Moba,0.12,10.67
Proto Germanic,12.0,57.0
Tanan Rukai,120.8,22.83
Lehali,167.31,-13.5
Kera,15.08,9.83
Nehan,154.2,-4.5
Njwande,10.83,7.0
Jitnu,-71.33,6.5
Nemi,164.83,-21.0
Uruava,155.62,-6.18
Minangkabau,101.0,-1.0
Vira,29.0,-3.5
Tawoyan,115.33,-1.25
Wanggom,140.2,-5.5
Horom,8.98,9.28
Gobabingo,135.5,-12.25
Qara Bagh Khorasani,58.28,36.33
Ske,168.17,-15.83
Mehinaku,-53.5,-12.5
Ethiopic,38.72,14.12
Japanese 2,140.0,37.0
Gurvari Romani,19.72,47.13
Katazi Babatana,157.5,-7.33
Oroha,161.5,-9.75
Maguindanao,124.5,6.83
Guarani Kaiwa,-55.0,-23.0
Tumpisa,-117.0,37.0
Wusi Mana,166.71,-15.33
Bolongan,117.5,3.0
San Juan Chiquihuitlan,-96.92,17.75
Gobeze,37.47,5.47
Uab Meto,124.3,-9.4
Kiowa,-99.0,37.0
Nkoya,25.0,-15.0
Baule,-5.0,7.0
Tidong,117.75,4.0
Kankanay Northern,120.8,17.3
Male Papuang,145.77,-5.47
Chippewa,-89.0,47.0
Kituba,15.3,-5.0
J31c Bukusu,34.67,0.75
Ulau,142.84,-3.33
Kucu Wela Ankutcu,22.67,-3.67
Teke Est,16.67,-3.67
Crimean Romani,42.8,42.25
Denya Bitieku,9.42,6.0
Mansaka,126.17,7.0
Malua Bay Petarmur,167.19,-15.96
Kallahan Kayapa Proper,120.83,16.33
Proto Polynesian,-173.5,-17.5
Fagani,161.67,-10.42
Triqui Copala,-97.92,17.17
Kilba,13.17,10.33
Argobba,40.08,10.17
Pech,-85.5,15.0
Thai,101.0,16.0
Thao,120.9,23.88
Awa,145.75,-6.67
East Olodiama,5.67,4.92
Nde,8.5,6.17
Riang Black Striped,97.55,20.92
Balochi Eastern,62.0,28.0
Xiang,110.0,27.0
Lendu Ddradha,30.05,2.0
Csango,26.67,46.57
Kana,7.42,4.75
Kelon Halerman,124.42,-8.42
Asheninka Ucayali Yurua,-73.67,-9.75
Southwest Tanna Imreang,169.32,-19.52
Kabyle Greater Kabylia At Mangellat,5.0,36.05
Atikamekw,-74.0,48.0
Hokm Abad Khorasani,57.6,36.63
Anaiwoi Bajau,123.0,-4.33
Komso,37.58,5.42
Changping Biao Mon,110.31,24.12
Waling,86.48,26.64
Lachixio Zapotec,-97.0,16.52
Lumbwe,29.92,-5.17
Badjirri,143.0,-27.33
Jirel,86.3,27.7
Tepecano,-104.75,21.75
Panytyima,118.42,-22.83
Kaimbulawa,122.5,-5.67
Mixteco De San Juan Colorado,-98.0,16.5
Chong H,102.83,12.25
Cuicatec,-96.83,17.83
Betta Kurumba,76.73,11.48
Paiwan,120.8,22.5
Mbala 4,18.0,-5.0
Mbala 5,18.0,-5.0
San Francisco Del Mar Huave,-94.5,16.25
Mbala 2,18.0,-5.0
Mbala 3,18.0,-5.0
Thawa,149.9,-37.07
Preh,107.58,12.5
Langue De Isles Marquises,-140.08,-8.92
Mam San Juan Ostuncalco,-91.83,15.42
Southeastern Pomo,-122.5,39.0
Sukau Lampung Api,105.0,-5.0
Jola,-16.0,13.0
Seta,141.75,-3.42
Aralle,119.25,-2.75
Kweso Ngulo,14.0,4.2
Masan Wa,99.43,22.76
Nanumea,176.12,-5.67
Vilela,-59.0,-27.33
Catalan 2,2.18,41.38
Maninkakan Eastern,-9.5,10.5
Sengele Mbelo,17.33,-1.83
Arguni,132.6,-2.67
South Saami,16.75,64.67
Gbari,7.0,8.75
Damascus Arabic,36.0,33.75
Ava Canoeiro,-50.0,-11.3
Tikuu,39.0,-6.5
Shuigui Honi,101.75,23.44
Ute 2,-109.0,39.0
Bamileke,10.08,5.42
Naba Kuka,18.0,13.0
Farang Amis,121.33,23.33
Proto Kartvelian,42.5,43.0
Nyawaygi,146.17,-19.0
Tikar Akuen,11.67,5.83
Banjarese Malay,116.5,-1.0
Ngbaka Pendi,18.5,4.0
Troje,-78.73,-1.84
Rejang Kayan,114.32,2.66
Yonaguni,122.98,24.45
Nihali 2,77.83,19.75
Tlapanec Malinaltepec,-98.52,17.27
Gadsup,146.0,-6.25
Krakal Kalasha,71.65,35.68
Yuma,-114.33,32.83
Jiba,11.58,9.33
Belalau Lampung Api,105.0,-5.0
Maleu,148.4,-5.72
Yakoma,18.42,4.42
Ron Mangar,8.75,9.0
Langbasi,23.0,5.0
Auni,21.5,-24.0
Nila,129.0,-6.75
Malua Bay,167.2,-16.0
Ditammari,1.25,10.25
Soppeng Buginese,119.88,-4.35
Miskito,-83.67,14.0
Kwaio,161.0,-8.95
Powhatan Unnamedinsource,-76.5,37.33
Rawo,161.83,-10.67
Huitoto Mika,-73.51,-1.17
Boa Babanda,25.33,3.0
Mansoanka,-15.17,12.25
Ngbaka Manza,18.23,5.57
Digor Ossetian,44.0,43.0
Mot Murkim,140.8,-4.2
Buang,146.83,-6.92
Mullukmulluk,130.42,-13.42
Biseni,6.5,5.37
Waorani,-76.5,-1.0
Bongili 1,16.58,0.33
Bongili 2,16.58,0.33
Lakaramba Bajau,123.0,-4.33
Tera,11.83,11.0
Lega Mwenga,28.33,-3.42
Ngamini,139.0,-27.5
Seneca,-77.5,42.5
Haisla,-128.6,54.0
Awar,144.83,-4.08
Hertevin,42.55,37.93
Towangara,146.58,-6.92
Tause Deirate,137.0,-2.83
Ogbe Ijo,5.67,4.92
Old Javanese,111.0,-7.0
Ili Turki,85.0,41.0
Mono Alu,155.75,-7.05
Fataluku,127.0,-8.5
Waropen,136.58,-2.33
Awak,11.33,9.87
Nu,21.0,-26.0
Cherat Pashto,71.88,33.82
Foau,139.17,-3.0
Petoe Uaripi,145.75,-7.92
Tungho Saisiyat,121.1,24.58
Anyuak,33.5,8.0
Jonk Khorasani,59.73,36.98
Eastern Marshallese,171.2,7.12
Dogon Tomo Kan,-3.8,13.9
Amahai,128.92,-3.33
Chukchee,177.0,65.0
Tokyo Japanese,140.0,37.0
Yeretuar,134.67,-3.08
Woi,135.5,-1.67
Thai 2,101.0,16.0
Thai 3,101.0,16.0
Nafusi,12.0,32.0
Rinze,8.25,8.75
Bonerate,121.17,-7.42
Achaemenid Aramaic,44.42,32.54
Isongo,17.75,4.0
Archi 2,46.83,42.0
Proto Kim Mun,105.55,23.18
Barambu,27.0,3.5
Dir Pashto,71.88,35.21
Turoyo,41.83,37.39
Paliu,104.95,23.62
Wallisian East Uvean,-176.2,-13.3
Yuruti,-70.42,1.0
Migabac,147.72,-6.31
Tsuvan,13.63,10.17
Arrernte Eastern,136.0,-24.0
Kulu,8.08,10.17
Longhua Bunu,111.2,23.43
Samre,104.0,13.5
Gurung,84.33,28.33
Kula,125.0,-8.24
Sera,142.0,-2.92
Nelemwa,164.1,-20.25
Kamtok,9.78,6.1
Old English,-1.31,51.06
Bodo India,92.0,26.83
Seri,-112.0,29.0
Buhutu,150.33,-10.5
Azerbaijani North,48.5,40.5
Biak,136.05,-1.17
Kiluba,26.0,-8.0
Wapishana,-60.0,2.67
Susu,-13.0,10.0
Common Tocharian,82.9,41.65
Borong,147.47,-6.5
Kenyari,143.83,-3.83
Harw E Olya Khorasani,59.05,36.17
Nyangi,33.58,3.42
Baliledo,119.42,-9.75
Nyanga,28.17,-1.25
Yaka,17.5,-7.0
Bum B Cameroon,11.0,3.0
Sanapana Enlhet,-58.0,-23.2
Habu,125.92,-8.75
K11 Ciokwe,20.0,-6.67
Bima,118.67,-8.5
Kerak,-16.67,12.42
Chinantec Palantla,-96.74,18.83
Bunoge,-3.8,14.67
Quechua Huaylas Ancash,-77.77,-8.96
Arabic Cypriot Spoken,33.5,35.25
Pangasinan,120.3,15.92
Quichua Bolivar Cachisagua,-78.96,-1.6
West Kara,151.12,-2.83
Vunapu,166.69,-14.78
Gresi,140.25,-2.67
Vitu,149.12,-4.9
Sangil Sarangani Islands,125.33,5.42
Meoswar,134.33,-2.08
Bezhta,46.17,42.08
Malagasy Plateau Betsileo Fianarantsoa,47.08,-21.45
Toba,-59.0,-26.5
Tobo,147.42,-6.42
Chinantec Tepetotutla,-96.5,17.83
Jarawara,-65.5,-7.5
Nakame,146.78,-6.41
Lohorung,87.22,27.37
Konkani,74.0,15.25
Piemontese Carmagnola,7.64,45.3
Lenje,28.0,-14.5
B11c Galwa 2,9.5,-1.25
Bada Indonesia,120.33,-1.67
Molima,150.62,-9.53
Kapuas Kahayan,114.5,-1.83
Rendille,37.5,2.0
Ikakumo,5.95,7.55
Selaru,131.0,-8.2
Lisela,127.0,-3.33
Latvian,24.0,57.0
Lohiki,145.67,-7.67
Jabri Santali,87.0,24.5
Ikundun,145.0,-4.67
Temein,29.42,11.92
Todanga,122.67,-5.42
Dazhai Wa,102.92,27.23
Baralakakan,-7.78,8.87
Okrika,7.03,4.45
Coni,39.67,-3.5
Desano 2,-69.83,0.83
Alsatian,7.5,48.5
Aua,144.0,-6.17
Berbice Dutch Creole,-58.0,5.33
Nyankpa,8.0,9.0
Dadiya,11.33,9.58
Yogyakarta,110.37,-7.81
